date,year,week,family,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_entry,n_slate_defining,source_file
2025-W07,2025,7,Classic,nfl_classic,161764,249.6,117.66,139.78,,,,,,alexandercole4,,Classic Slate Week 7 2025.csv
2025-W07,2025,7,Full,nfl_classic,2352,227.18,116.14,140.07,24,12.36,4.75,100.0,1,monahan687,5,Full Slate Week 7 2025.csv
2025-W08,2025,8,Classic,nfl_classic,161764,230.66,102.98,121.86,,,,,,bsgolfer7,,Classic Slate Week 8 2025.csv
2025-W09,2025,9,Classic,nfl_classic,161764,264.7,114.64,137.2,,,,,,ikeyser21,,Classic Slate Week 9 2025.csv
2025-W09,2025,9,Full,nfl_classic,2352,223.5,118.61,142.85,24,15.93,5.12,100.0,1,kyriemeariver,1,Full Slate Week 9 2025.csv
2025-W10,2025,10,Classic,nfl_classic,152263,239.62,121.14,141.62,,,,,,standish,,Classic Slate Week 10 2025.csv
2025-W10,2025,10,Full,nfl_classic,2223,222.6,113.23,137.32,22,12.55,4.64,86.4,3,vinnyp12,6,Full Slate Week 10 2025.csv
2025-W11,2025,11,Classic,nfl_classic,147058,248.98,88.06,112.2,,,,,,dpac2,,Classic Slate Week 11 2025.csv
2025-W11,2025,11,Full,nfl_classic,1568,230.88,100.41,124.93,20,18.29,3.15,100.0,1,jstodd22,3,Full Slate Week 11 2025.csv
2025-W12,2025,12,Classic,nfl_classic,147058,277.04,124.72,152.56,,,,,,jbgigglesworth,,Classic Slate Week 12 2025.csv
2025-W12,2025,12,Full,nfl_classic,1568,232.76,121.14,147.74,20,19.15,3.35,100.0,1,radtek83,1,Full Slate Week 12 2025.csv
2025-W13,2025,13,Classic,nfl_classic,147058,205.44,89.02,105.84,,,,,,bmozley24,,Classic Slate Week 13 2025.csv
2025-W13,2025,13,Full,nfl_classic,1568,197.64,92.73,110.47,20,14.73,3.35,100.0,1,birdknowsfantasy,4,Full Slate Week 13 2025.csv
2025-W14,2025,14,Classic,nfl_classic,147058,239.34,99.52,122.16,,,,,,melvco,,Classic Slate Week 14 2025.csv
2025-W14,2025,14,Full,nfl_classic,1960,208.74,108.76,131.05,20,19.34,3.15,100.0,1,invertedcheese,4,Full Slate Week 14 2025.csv
2025-W15,2025,15,Classic,nfl_classic,147058,236.02,114.14,133.54,,,,,,giantsandwarfs,,Classic Slate Week 15 2025.csv
2025-W15,2025,15,Full,nfl_classic,1773,239.02,113.66,138.72,20,15.62,3.15,85.0,3,twitterqueen,5,Full Slate Week 15 2025.csv
2025-W16,2025,16,Classic,nfl_classic,132352,218.2,102.4,119.54,,,,,,boangtao33,,Classic Slate Week 16 2025.csv
2025-W16,2025,16,Full,nfl_classic,1568,216.64,112.3,129.6,20,10.82,5.65,100.0,1,mpuntsch,5,Full Slate Week 16 2025.csv
2025-W17,2025,17,Classic,nfl_classic,132352,218.24,106.22,123.7,,,,,,furrmaster,,Classic Slate Week 17 2025.csv
2025-W17,2025,17,Full,nfl_classic,1176,213.62,108.02,130.3,20,15.8,2.55,90.0,2,sunset76,5,Full Slate Week 17 2025.csv
2025-W18,2025,18,Classic,nfl_classic,105882,227.5,92.1,110.96,,,,,,futbalfanatic,,Classic Slate Week 18 2025.csv
2025-W18,2025,18,Full,nfl_classic,1815,194.52,88.46,108.3,20,9.9,4.95,100.0,1,tstyron174,5,Full Slate Week 18 2025.csv
2025-W19,2025,19,Classic,nfl_classic,32679,244.22,115.42,139.3,,,,,,mradford1978,,Classic Slate Week 19 2025.csv
2025-W19,2025,19,Full,nfl_classic,32679,244.22,115.42,139.3,,,,,,mradford1978,,Full Slate Week 19 2025.csv
