date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
03-16-2023,2023,Valspar,pga_classic,54641,502.5,270.0,313.0,100,12.35,2.73,90.0,2,12.36,3,2,03-16-2023 Valspar Classic.csv
03-17-2025,2025,THE PLAYERS Championship,pga_classic,103543,564.5,293.0,344.5,100,12.71,2.79,88.0,4,11.42,3,6,03-17-2025 THE PLAYERS Championship Classic.csv
03-21-2024,2024,Valspar 2023 RM,pga_classic,30391,515.5,246.0,298.5,100,7.33,3.5,94.0,2,8.15,3,3,03-21-2024 Valspar 2023 RM Classic.csv
03-21-2024,2024,Valspar 2024 RM,pga_classic,31487,510.5,241.0,293.0,100,6.42,1.91,98.0,2,6.97,3,1,03-21-2024 Valspar 2024 RM Classic.csv
03-21-2024,2024,Valspar,pga_classic,44117,519.5,250.0,299.5,100,14.3,2.82,98.0,2,15.62,3,3,03-21-2024 Valspar Classic.csv
03-22-2023,2023,Match Play,pga_classic,44117,932.85,369.05,458.35,100,12.71,3.01,81.0,6,11.0,3,6,03-22-2023 Match Play Classic.csv
03-22-2026,2026,Valspar Championship,pga_classic,35294,535.5,269.5,320.5,100,12.75,3.04,100.0,1,13.9,3,1,03-22-2026 Valspar Championship Classic.csv
03-23-2023,2023,Corales,pga_classic,4705,354.55,255.1,278.85,47,19.11,1.13,87.2,2,21.03,1,2,03-23-2023 Corales Classic.csv
03-23-2025,2025,Valspar Championship,pga_classic,35294,517.5,287.5,333.0,100,12.14,2.7,94.0,2,16.05,3,4,03-23-2025 Valspar Championship Classic.csv
03-29-2026,2026,Houston Open,pga_classic,35294,656.0,342.0,401.5,100,15.97,1.98,76.0,3,17.58,2,2,03-29-2026 Houston Open Classic.csv
03-30-2023,2023,Valero,pga_classic,44020,592.5,313.5,369.0,100,12.32,2.76,96.0,2,9.55,4,3,03-30-2023 Valero Classic.csv
03-30-2025,2025,Houston Open,pga_classic,40676,687.5,338.0,396.5,100,10.3,3.66,91.0,3,10.08,4,4,03-30-2025 Houston Open Classic.csv
03-31-2024,2024,Houston Open,pga_classic,35294,570.0,324.0,373.5,100,14.88,2.69,96.0,2,12.91,4,3,03-31-2024 Houston Open Classic.csv
04-03-2024,2024,Valero Texas Open,pga_classic,41176,581.5,317.0,366.5,100,14.28,2.04,87.0,3,14.22,2,5,04-03-2024 Valero Texas Open Classic.csv
04-05-2026,2026,Valero Texas Open,pga_classic,34186,627.0,331.5,388.5,100,11.82,3.22,91.0,7,10.03,4,3,04-05-2026 Valero Texas Open Classic.csv
04-06-2023,2023,Masters,pga_classic,106890,542.0,378.5,398.5,100,13.08,2.22,61.0,5,13.39,2,6,04-06-2023 Masters Classic.csv
04-06-2025,2025,Valero Texas Open,pga_classic,32941,502.0,258.0,302.0,100,12.64,1.9,96.0,2,12.56,2,6,04-06-2025 Valero Texas Open Classic.csv
04-12-2026,2026,Masters,pga_classic,411764,565.0,315.5,367.5,100,9.94,3.72,89.0,5,6.5,6,7,04-12-2026 The Masters Classic.csv
04-13-2023,2023,RBC Heritage,pga_classic,58823,613.0,357.5,410.5,100,13.63,1.78,80.0,5,11.98,2,3,04-13-2023 RBC Heritage Classic.csv
04-13-2025,2025,Masters,pga_classic,462123,579.5,292.5,341.0,100,12.77,3.05,65.0,5,13.53,3,5,04-13-2025 The Masters Classic.csv
04-14-2024,2024,Masters,pga_classic,470588,507.5,279.0,325.5,100,12.91,2.69,51.0,5,13.42,2,6,04-14-2024 The Masters Classic.csv
04-19-2026,2026,RBC Heritage,pga_classic,47058,610.0,451.5,478.0,100,11.21,2.42,90.0,2,10.56,3,4,04-19-2026 RBC Heritage Classic.csv
04-20-2023,2023,Zurich,pga_classic,38611,806.0,488.5,557.0,100,9.6,4.19,92.0,2,11.71,4,4,04-20-2023 Zurich Classic.csv
04-20-2025,2025,RBC Heritage,pga_classic,47058,627.0,431.5,459.5,100,11.36,2.23,90.0,3,10.93,2,5,04-20-2025 RBC Heritage Classic.csv
04-22-2024,2024,RBC Heritage,pga_classic,47058,618.0,445.0,477.5,100,11.03,2.7,96.0,2,10.41,3,5,04-22-2024 RBC Heritage Classic.csv
04-26-2026,2026,Zurich Classic of New Orleans,pga_classic,18823,860.0,513.5,589.0,100,9.69,3.86,97.0,3,9.69,4,3,04-26-2026 Zurich Classic of New Orleans Classic.csv
04-27-2023,2023,Mexico Open,pga_classic,35294,687.0,413.0,473.0,100,15.31,2.66,84.0,2,13.59,2,3,04-27-2023 Mexico Open Classic.csv
04-27-2025,2025,Zurich Classic of New Orleans,pga_classic,22852,813.0,447.5,517.0,100,7.55,4.81,95.0,3,5.31,6,2,04-27-2025 Zurich Classic of New Orleans Classic.csv
04-28-2024,2024,Zurich Classic of New Orleans,pga_classic,32311,766.5,419.5,484.5,100,8.38,4.23,98.0,2,8.16,5,0,04-28-2024 Zurich Classic of New Orleans Classic.csv
05-03-2026,2026,Cadillac Championship,pga_classic,35294,588.0,430.0,465.5,100,13.74,2.3,84.0,4,11.05,4,3,05-03-2026 Cadillac Championship Classic.csv
05-04-2023,2023,Wells Fargo,pga_classic,47058,604.0,322.5,375.5,100,14.38,0.9,75.0,10,12.43,1,7,05-04-2023 Wells Fargo Classic.csv
05-04-2025,2025,CJ Cup Byron Nelson,pga_classic,32804,731.0,388.0,461.5,100,13.49,4.2,96.0,4,12.3,5,3,05-04-2025 The CJ Cup Byron Nelson Classic.csv
05-05-2024,2024,CJ Cup Byron Nelson,pga_classic,32941,720.0,377.0,448.5,100,13.82,2.03,93.0,3,14.15,2,5,05-05-2024 The CJ Cup Byron Nelson Classic.csv
05-10-2026,2026,Truist Championship,pga_classic,32941,574.5,400.0,429.0,100,14.22,2.54,90.0,6,13.55,3,3,05-10-2026 Truist Championship Classic.csv
05-11-2023,2023,Byron Nelson,pga_classic,41176,725.5,423.0,480.0,100,12.11,2.72,93.0,3,12.65,3,5,05-11-2023 Byron Nelson Classic.csv
05-11-2025,2025,Truist Championship,pga_classic,35294,596.0,420.5,453.5,100,12.67,2.09,96.0,2,13.42,1,4,05-11-2025 Truist Championship Classic.csv
05-12-2024,2024,Wells Fargo Championship,pga_classic,37647,563.0,340.0,382.0,100,12.52,2.78,94.0,2,11.79,3,3,05-12-2024 Wells Fargo Championship Classic.csv
05-17-2026,2026,PGA Championship,pga_classic,117647,511.0,263.5,310.5,100,12.59,2.36,74.0,3,10.37,3,4,05-17-2026 PGA Championship Classic.csv
05-18-2023,2023,PGA Championship,pga_classic,142243,474.0,219.5,263.5,100,9.55,3.04,94.0,2,9.31,3,2,05-18-2023 PGA Championship Classic.csv
05-18-2025,2025,PGA Championship,pga_classic,129411,528.5,255.5,305.5,100,10.47,3.81,91.0,3,9.5,4,2,05-18-2025 PGA Championship Classic.csv
05-19-2024,2024,PGA Championship,pga_classic,20115,655.0,481.5,497.5,100,10.08,3.53,93.0,3,9.77,4,4,05-19-2024 PGA Championship Classic.csv
05-24-2026,2026,CJ Cup Byron Nelson,pga_classic,32941,794.5,426.5,493.5,100,13.25,3.37,87.0,3,13.05,4,4,05-24-2026 The CJ Cup Byron Nelson Classic.csv
05-25-2023,2023,Charles Schwab,pga_classic,47058,496.5,249.0,296.0,100,13.65,2.8,79.0,6,11.59,4,3,05-25-2023 Charles Schwab Classic.csv
05-25-2025,2025,Charles Schwab Challenge,pga_classic,32941,535.0,286.0,333.0,100,9.97,3.72,91.0,3,8.16,5,5,05-25-2025 Charles Schwab Challenge Classic.csv
05-26-2024,2024,Charles Schwab Challenge,pga_classic,37647,503.5,271.0,313.0,100,13.82,3.09,92.0,2,15.96,3,2,05-26-2024 Charles Schwab Challenge Classic.csv
05-31-2026,2026,Charles Schwab Challenge,pga_classic,32941,580.0,318.5,370.0,100,11.86,2.35,97.0,2,9.8,3,5,05-31-2026 Charles Schwab Challenge Classic.csv
06-01-2023,2023,Memorial,pga_classic,58823,514.0,292.5,338.0,100,12.95,2.47,86.0,2,14.87,2,4,06-01-2023 The Memorial Classic.csv
