name,salary,proj_points,ceiling,ownership,make_cut_odds,tee_time,dk_id
Scottie Scheffler,14800,124.4,156.83,26.3,0.97,7:33,43091398
Jon Rahm,11000,87.0,118.0,12.0,0.90,7:33,43091500
